Monitor,Spider,Period LD,Power LD,Period DD,Power DD,specie
2,spider1,24.45,513.8,34.7,75.62,L. mactans
2,spider2,23.91,112.97,14.93,62.58,L. mactans
2,spider3,23.91,178.52,21.74,147.57,L. mactans
2,spider4,24.45,452.57,24.64,51.38,L. mactans
2,spider5,23.91,499.78,27.2,28.61,L. mactans
2,spider6,23.91,118.94,23.02,51.62,L. mactans
2,spider7,23.91,2116.74,24.45,41.6,L. mactans
2,spider8,23.91,213.29,30.95,26.73,L. mactans
2,spider9,23.91,215.13,23.19,48,L. mactans
2,spider12,23.91,281.59,22.36,95.92,L. mactans
2,spider14,23.91,302.1,22.05,56.74,L. mactans
2,spider15,23.91,391.16,14.52,53.96,L. mactans
2,spider17,24.45,363.62,16.76,53.05,L. mactans
2,spider18,24.45,873.63,19.7,87.76,L. mactans
2,spider19,23.91,510.91,22.85,105.97,L. mactans
2,spider21,24.45,105.27,29.22,102.04,L. mactans
2,spider22,23.91,423.13,24.64,41.16,L. mactans
1,spider3,23.62,376.27,30.02,53.47,L. mactans
1,spider4,24.46,296.45,14.42,49.74,L. mactans
1,spider6,24.46,139.03,21.52,26.32,L. mactans
1,spider8,19.61,76.57,30.02,30.66,L. mactans
1,spider9,24.46,28.1,25.74,18.67,L. mactans
0,spider2,23.8,927.73,21.86,351.81,P. tepidariorum
0,spider3,23.8,338.65,21.86,179.24,P. tepidariorum
0,spider4,23.8,292.85,22.3,90.67,P. tepidariorum
0,spider6,23.8,515.02,22.3,50.01,P. tepidariorum
0,spider7,24.35,1603.59,20.26,153.18,P. tepidariorum
0,spider11,25.52,128.15,21.86,191.36,P. tepidariorum
0,spider12,23.8,56.57,22.3,156.66,P. tepidariorum
0,spider14,24.35,348.5,20.64,242.53,P. tepidariorum
0,spider15,24.35,855.25,19.21,181.33,P. tepidariorum
0,spider16,24.35,259.79,21.44,60.41,P. tepidariorum
0,spider19,24.35,105.44,23.24,134.09,P. tepidariorum
0,spider21,23.28,113.61,20.64,472.16,P. tepidariorum
0,spider23,24.35,589.37,22.76,370.53,P. tepidariorum
0,spider24,23.8,812.38,22.76,239.09,P. tepidariorum
0,spider29,23.28,53.94,23.73,59.64,P. tepidariorum
0,spider30,23.8,157.8,21.86,61.27,P. tepidariorum
0,spider31,23.8,294.54,21.86,108.67,P. tepidariorum
0,spider13,23.62,111.06,20.89,64.98,A. studiosus
0,spider17,23.62,167.52,22.88,36.66,A. studiosus
0,spider18,23.62,59.68,22.88,57.18,A. studiosus
0,spider20,23.62,198.85,25.74,21.33,A. studiosus
0,spider22,23.62,83.01,26.2,29.78,A. studiosus
0,spider24,23.62,149.26,24.02,51.18,A. studiosus
0,spider27,23.62,54.84,22.88,19.55,A. studiosus
0,spider29,23.62,49.75,20.31,15.87,A. studiosus
,Monitor 1 Spider 1,23.85866069,,22.0111503,1322.464061,M. wittfeldae
,Monitor 1 Spider 2,24.24433923,,21.31600081,5333.174854,M. wittfeldae
,Monitor 1 Spider 3,23.67038663,,24.45338602,1734.08837,M. wittfeldae
,Monitor 1 Spider 4,24.34271507,,24.67689723,2695.489814,M. wittfeldae
,Monitor 1 Spider 5,22.77189587,,21.31600081,790.5385865,M. wittfeldae
,Monitor 1 Spider 6,23.85866069,,22.28366527,448.5480391,M. wittfeldae
,Monitor 1 Spider 7,23.39348179,,18.76084716,1197.711121,M. wittfeldae
,Monitor 1 Spider 8,22.6857842,,23.24288111,2070.421021,M. wittfeldae
,Monitor 1 Spider 9,22.6857842,,23.8065032,3748.639913,M. wittfeldae
,Monitor 1 Spider 10,23.67038663,,22.89790149,2967.717261,M. wittfeldae
,Monitor 1 Spider 11,23.76415076,,23.54695967,195.2961528,M. wittfeldae
,Monitor 1 Spider 12,23.67038663,,16.72674953,289.5862987,M. wittfeldae
,Monitor 1 Spider 13,,,21.92178715,447.5204335,M. wittfeldae
,Monitor 1 Spider 14,21.77982239,,18.92523645,231.6935212,M. wittfeldae
,Monitor 1 Spider 15,21.8591816,,20.8227866,592.9659996,M. wittfeldae
,Monitor 1 Spider 16,22.51549995,,21.57147473,620.113821,M. wittfeldae
,Monitor 1 Spider 18,23.30261429,,22.23777847,2136.589055,M. wittfeldae
,Monitor 1 Spider 19,24.34271507,,22.32974184,785.348799,M. wittfeldae
,Monitor 1 Spider 20,22.6857842,,22.70532944,142.6242628,M. wittfeldae
,Monitor 1 Spider 21,23.12298071,,23.49572859,289.5382752,M. wittfeldae
,Monitor 1 Spider 23,22.6857842,,23.54695967,152.5195057,M. wittfeldae
,Monitor 1 Spider 25,23.95392535,,24.50888338,1155.190593,M. wittfeldae
,Monitor 1 Spider 26,22.6857842,,22.80120887,781.628599,M. wittfeldae
,Monitor 1 Spider 27,23.76415076,,21.40048376,404.1577737,M. wittfeldae
,Monitor 1 Spider 28,23.39348179,,18.00994089,293.1972568,M. wittfeldae
,Monitor 1 Spider 29,23.21244997,,22.99541768,3943.650331,M. wittfeldae
,Monitor 1 Spider 30,23.30261429,,22.61025299,1292.122486,M. wittfeldae
,Monitor 1 Spider 31,24.14675532,,16.42152734,653.8955756,M. wittfeldae
,Monitor 1 Spider 32,22.94609543,,19.79237604,1026.371184,M. wittfeldae
,Monitor 2 Spider 1,23.39348179,,24.01829421,4357.384159,M. wittfeldae
,Monitor 2 Spider 2,23.30261429,,18.66357729,247.3396794,M. wittfeldae
,Monitor 2 Spider 3,23.30261429,,19.36644543,380.1061857,M. wittfeldae
,Monitor 2 Spider 4,24.14675532,,24.23388738,1859.882761,M. wittfeldae
,Monitor 2 Spider 5,23.30261429,,18.00994089,128.7657311,M. wittfeldae
,Monitor 2 Spider 6,22.10076749,,18.56731085,373.0276232,M. wittfeldae
,Monitor 2 Spider 7,24.04995382,,23.29301431,821.4101744,M. wittfeldae
,Monitor 2 Spider 8,,,18.50368305,149.4707107,M. wittfeldae
,Monitor 2 Spider 9,22.85866378,,18.13088958,1212.939559,M. wittfeldae
,Monitor 2 Spider 10,23.57735951,,22.46912195,1223.264544,M. wittfeldae
,Monitor 2 Spider 11,23.67038663,,23.34336424,7900.246264,M. wittfeldae
