,ks,periods
18,0.5700000000000004,17.993166097174754
19,0.4850000000000003,18.981581798483205
20,0.41000000000000025,20.00166680556713
21,0.3450000000000002,21.04175347945661
22,0.29000000000000015,22.05183765313776
23,0.24500000000000013,22.964413701141766
24,0.2000000000000001,23.976998083173598
25,0.16500000000000006,24.927077256438054
26,0.14500000000000005,25.964663721976834
27,0.13000000000000003,27.21893491124261
28,0.12000000000000002,28.252354362863553
29,0.11500000000000002,28.819068255687966
30,0.10500000000000001,30.102508542378548
